cohort,outcome_id,analysis_family,n,people,events,nonevents,parameters,matrix_rank,prefrail_n,prefrail_events,prefrail_nonevents,frail_n,frail_events,frail_nonevents,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,model_id,model_status,metric,estimate,ci_low,ci_high,bootstrap_replicates,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents
share,incident_heart_disease,head_to_head_cv,26644,18995,1340,25304,21,21,11161,646,10515,1661,195,1466,6223.0,348.0,5875.0,651.0,39.0,612.0,M3_fried_withdrawal,PASS,brier_score,0.046955633085363845,0.044853392309406576,0.048886652694454975,500,,,
share,incident_heart_disease,head_to_head_cv,26644,18995,1340,25304,21,21,11161,646,10515,1661,195,1466,6223.0,348.0,5875.0,651.0,39.0,612.0,M1_withdrawal_minus_M0_routine,PASS,delta_c_statistic,-0.0014022914199158798,-0.0023440325527423088,-0.0005515544515808964,500,,,
share,incident_heart_disease,head_to_head_cv,26644,18995,1340,25304,21,21,11161,646,10515,1661,195,1466,6223.0,348.0,5875.0,651.0,39.0,612.0,M1_withdrawal_minus_M0_routine,PASS,delta_brier_score,2.262436874983509e-05,1.1362048017123442e-05,3.37234123598297e-05,500,,,
share,incident_heart_disease,head_to_head_cv,26644,18995,1340,25304,21,21,11161,646,10515,1661,195,1466,6223.0,348.0,5875.0,651.0,39.0,612.0,M2_fried_minus_M0_routine,PASS,delta_c_statistic,0.0087148188475894,0.0032322422315898356,0.013834362856792973,500,,,
share,incident_heart_disease,head_to_head_cv,26644,18995,1340,25304,21,21,11161,646,10515,1661,195,1466,6223.0,348.0,5875.0,651.0,39.0,612.0,M2_fried_minus_M0_routine,PASS,delta_brier_score,-0.0001256646317885357,-0.00022064922914878502,-3.413922324790219e-05,500,,,
share,incident_heart_disease,head_to_head_cv,26644,18995,1340,25304,21,21,11161,646,10515,1661,195,1466,6223.0,348.0,5875.0,651.0,39.0,612.0,M3_fried_withdrawal_minus_M0_routine,PASS,delta_c_statistic,0.0073214045564148345,0.0018899902890579497,0.012644187138758898,500,,,
share,incident_heart_disease,head_to_head_cv,26644,18995,1340,25304,21,21,11161,646,10515,1661,195,1466,6223.0,348.0,5875.0,651.0,39.0,612.0,M3_fried_withdrawal_minus_M0_routine,PASS,delta_brier_score,-9.974647381577606e-05,-0.00019547766050618566,-2.984446628303469e-06,500,,,
share,incident_heart_disease,head_to_head_cv,26644,18995,1340,25304,21,21,11161,646,10515,1661,195,1466,6223.0,348.0,5875.0,651.0,39.0,612.0,M3_fried_withdrawal_minus_M2_fried,PASS,delta_c_statistic,-0.0013934142911745662,-0.0023367088329484032,-0.0006094105868801881,500,,,
share,incident_heart_disease,head_to_head_cv,26644,18995,1340,25304,21,21,11161,646,10515,1661,195,1466,6223.0,348.0,5875.0,651.0,39.0,612.0,M3_fried_withdrawal_minus_M2_fried,PASS,delta_brier_score,2.5918157972759648e-05,1.4008834634519388e-05,3.82224316069133e-05,500,,,
share,incident_heart_disease,head_to_head_cv_binary_flag,26644,18995,1340,25304,20,20,11161,646,10515,1661,195,1466,,,,,,,M0_routine,PASS,c_statistic,0.6579078259115425,0.6438073448020283,0.6715335540159918,500,6874.0,387.0,6487.0
share,incident_heart_disease,head_to_head_cv_binary_flag,26644,18995,1340,25304,20,20,11161,646,10515,1661,195,1466,,,,,,,M0_routine,PASS,brier_score,0.04705537955917962,0.04493530179123453,0.04898831673771757,500,6874.0,387.0,6487.0
