cohort,outcome_id,analysis_family,n,people,events,nonevents,parameters,matrix_rank,prefrail_n,prefrail_events,prefrail_nonevents,frail_n,frail_events,frail_nonevents,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,model_id,model_status,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,metric,estimate,ci_low,ci_high,bootstrap_replicates
elsa,incident_cancer,head_to_head_cv_binary_flag,11438,6119,326,11112,20,20,4346.0,128.0,4218.0,558.0,23.0,535.0,,,,,,,M2_fried,PASS,2385.0,61.0,2324.0,brier_score,0.02769524141818691,0.02487761883336615,0.03096383585909902,500.0
elsa,incident_cancer,head_to_head_cv_binary_flag,11438,6119,326,11112,20,20,4346.0,128.0,4218.0,558.0,23.0,535.0,,,,,,,M3b_fried_any_withdrawal,PASS,2385.0,61.0,2324.0,c_statistic,0.5621748112911703,0.5269028484195799,0.5948415398847016,500.0
elsa,incident_cancer,head_to_head_cv_binary_flag,11438,6119,326,11112,20,20,4346.0,128.0,4218.0,558.0,23.0,535.0,,,,,,,M3b_fried_any_withdrawal,PASS,2385.0,61.0,2324.0,brier_score,0.02768742233230749,0.024886017388105,0.03095464879779385,500.0
elsa,incident_cancer,head_to_head_cv_binary_flag,11438,6119,326,11112,20,20,4346.0,128.0,4218.0,558.0,23.0,535.0,,,,,,,M1b_any_withdrawal_minus_M0_routine,PASS,2385.0,61.0,2324.0,delta_c_statistic,0.010332056871033113,-0.0019578225119108277,0.021188948694438665,500.0
elsa,incident_cancer,head_to_head_cv_binary_flag,11438,6119,326,11112,20,20,4346.0,128.0,4218.0,558.0,23.0,535.0,,,,,,,M1b_any_withdrawal_minus_M0_routine,PASS,2385.0,61.0,2324.0,delta_brier_score,-8.276405375297335e-06,-2.931215705240008e-05,1.5704266414275336e-05,500.0
elsa,incident_cancer,head_to_head_cv_binary_flag,11438,6119,326,11112,20,20,4346.0,128.0,4218.0,558.0,23.0,535.0,,,,,,,M2_fried_minus_M0_routine,PASS,2385.0,61.0,2324.0,delta_c_statistic,-0.0036148948574912243,-0.008359620132929985,0.0011511411576561239,500.0
elsa,incident_cancer,head_to_head_cv_binary_flag,11438,6119,326,11112,20,20,4346.0,128.0,4218.0,558.0,23.0,535.0,,,,,,,M2_fried_minus_M0_routine,PASS,2385.0,61.0,2324.0,delta_brier_score,1.0109520757823481e-05,-1.3995110005053828e-06,2.1456016869673612e-05,500.0
elsa,incident_cancer,head_to_head_cv_binary_flag,11438,6119,326,11112,20,20,4346.0,128.0,4218.0,558.0,23.0,535.0,,,,,,,M3b_fried_any_withdrawal_minus_M0_routine,PASS,2385.0,61.0,2324.0,delta_c_statistic,0.006661951706440128,-0.007471327688005491,0.018679145227256687,500.0
elsa,incident_cancer,head_to_head_cv_binary_flag,11438,6119,326,11112,20,20,4346.0,128.0,4218.0,558.0,23.0,535.0,,,,,,,M3b_fried_any_withdrawal_minus_M0_routine,PASS,2385.0,61.0,2324.0,delta_brier_score,2.290434878402664e-06,-2.0315065832586694e-05,2.9867151203994028e-05,500.0
elsa,incident_cancer,head_to_head_cv_binary_flag,11438,6119,326,11112,20,20,4346.0,128.0,4218.0,558.0,23.0,535.0,,,,,,,M3b_fried_any_withdrawal_minus_M2_fried,PASS,2385.0,61.0,2324.0,delta_c_statistic,0.010276846563931352,-0.00187564467744867,0.020751537745566824,500.0
elsa,incident_cancer,head_to_head_cv_binary_flag,11438,6119,326,11112,20,20,4346.0,128.0,4218.0,558.0,23.0,535.0,,,,,,,M3b_fried_any_withdrawal_minus_M2_fried,PASS,2385.0,61.0,2324.0,delta_brier_score,-7.819085879420817e-06,-2.8426758108498692e-05,1.60859868689224e-05,500.0
elsa,incident_arthritis,head_to_head_cv,7829,4306,403,7426,21,21,2593.0,182.0,2411.0,207.0,18.0,189.0,,,,,,,M0_routine,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
elsa,incident_arthritis,head_to_head_cv,7829,4306,403,7426,21,21,2593.0,182.0,2411.0,207.0,18.0,189.0,,,,,,,M1_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
elsa,incident_arthritis,head_to_head_cv,7829,4306,403,7426,21,21,2593.0,182.0,2411.0,207.0,18.0,189.0,,,,,,,M2_fried,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
elsa,incident_arthritis,head_to_head_cv,7829,4306,403,7426,21,21,2593.0,182.0,2411.0,207.0,18.0,189.0,,,,,,,M3_fried_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
elsa,incident_arthritis,head_to_head_cv_binary_flag,7829,4306,403,7426,20,20,2593.0,182.0,2411.0,207.0,18.0,189.0,,,,,,,M0_routine,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
elsa,incident_arthritis,head_to_head_cv_binary_flag,7829,4306,403,7426,20,20,2593.0,182.0,2411.0,207.0,18.0,189.0,,,,,,,M1b_any_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
elsa,incident_arthritis,head_to_head_cv_binary_flag,7829,4306,403,7426,20,20,2593.0,182.0,2411.0,207.0,18.0,189.0,,,,,,,M2_fried,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
elsa,incident_arthritis,head_to_head_cv_binary_flag,7829,4306,403,7426,20,20,2593.0,182.0,2411.0,207.0,18.0,189.0,,,,,,,M3b_fried_any_withdrawal,NOT_EVALUABLE_CV_SUPPORT,,,,,,,,
