cohort,outcome_id,analysis_family,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,withdrawal_log_rr_attenuation_percent
share,incident_hypertension,clinical_context,plus_bmi_or_weight_loss,PASS_BASELINE_FREE_RISK_SET,15738,11421,1838,13900,19,19,4020,497,3523,PASS,,context_bmi_or_weight_loss,risk_ratio,0.9826023475522276,0.09042132023296864,0.8230212148155422,1.1731257421250567,0.846097652025637,-0.2714427032467024
share,incident_hypertension,clinical_context,base_same_set_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,15902,11526,1863,14039,18,18,4074,507,3567,PASS,,any_withdrawal,risk_ratio,0.9611261533881461,0.08297777892832733,0.8168636706726935,1.1308661602810268,0.632768346153162,
share,incident_hypertension,clinical_context,plus_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,15902,11526,1863,14039,19,19,4074,507,3567,PASS,,any_withdrawal,risk_ratio,0.9609107683272068,0.08299380753514526,0.8166549583169276,1.1306482563825313,0.6309129953119039,-0.5652557349117553
share,incident_hypertension,clinical_context,plus_incident_non_target_disease,PASS_BASELINE_FREE_RISK_SET,15902,11526,1863,14039,19,19,4074,507,3567,PASS,,context_incident_non_target_disease,risk_ratio,1.1199228319637902,0.05814562962127423,0.9992966904230582,1.255109880352762,0.051431229722301325,-0.5652557349117553
share,incident_hypertension,clinical_context,base_same_set_fi_change,PASS_BASELINE_FREE_RISK_SET,10872,9645,1266,9606,17,17,2624,332,2292,PASS,,any_withdrawal,risk_ratio,0.9446102125330041,0.10326617179770267,0.7715291011778505,1.1565195042668386,0.581081163950911,
share,incident_hypertension,clinical_context,plus_fi_change,PASS_BASELINE_FREE_RISK_SET,10872,9645,1266,9606,18,18,2624,332,2292,PASS,,any_withdrawal,risk_ratio,0.9459281917514684,0.10335900390406076,0.772465025877037,1.158343891277527,0.5907007847564661,2.4468564979217793
share,incident_hypertension,clinical_context,plus_fi_change,PASS_BASELINE_FREE_RISK_SET,10872,9645,1266,9606,18,18,2624,332,2292,PASS,,context_fi_change,risk_ratio,1.0720711257495394,0.01725158454717037,1.0364277292530242,1.1089403208984348,5.484185475577123e-05,2.4468564979217793
share,incident_hypertension,clinical_context,base_same_set_joint_context,PASS_BASELINE_FREE_RISK_SET,10749,9538,1247,9502,17,17,2583,323,2260,PASS,,any_withdrawal,risk_ratio,0.9295215856608342,0.10438878310019858,0.7575365404962009,1.1405527417112953,0.48384893062946766,
share,incident_hypertension,clinical_context,plus_joint_context,PASS_BASELINE_FREE_RISK_SET,10749,9538,1247,9502,22,22,2583,323,2260,PASS,,any_withdrawal,risk_ratio,0.9311421134767779,0.10446376186485822,0.7587457194207491,1.1427090964703117,0.4946393987061489,2.3833563349483775
share,incident_hypertension,clinical_context,plus_joint_context,PASS_BASELINE_FREE_RISK_SET,10749,9538,1247,9502,22,22,2583,323,2260,PASS,,context_self_rated_health_worsening,risk_ratio,1.069741758705591,0.05897616480936176,0.9529680642624966,1.2008245325662021,0.25298568264010324,2.3833563349483775
