cohort,outcome_id,context_id,model_id,state_adjustment,term,log_rr_attenuation_percent,n,events,estimate,ci_low,ci_high
hrs,incident_any_iadl,joint_context,plus_joint_context,unconditional,loss_2plus,16.036090152971205,15912,1097,1.5158680669691784,1.100290410281303,2.0884086373791058
hrs,incident_any_iadl,joint_context_no_fi,base_same_set_joint_context_no_fi,current_state_held,loss_1,49.7358252041516,18960,1274,1.1832782193038325,0.9788583145733096,1.4303881608128148
hrs,incident_any_iadl,joint_context_no_fi,base_same_set_joint_context_no_fi,current_state_held,loss_2plus,52.73750903332445,18960,1274,1.2524993274680498,0.8280473038556644,1.8945228829358811
hrs,incident_any_iadl,joint_context_no_fi,plus_joint_context_no_fi,unconditional,loss_1,12.92780086764274,18960,1274,1.3384672809611182,1.194506374804833,1.4997782347508664
hrs,incident_any_iadl,joint_context_no_fi,plus_joint_context_no_fi,unconditional,loss_2plus,18.42572667867472,18960,1274,1.4748992033678705,1.088875757288737,1.9977739843447972
hrs,multimorbidity_progression,self_rated_health_worsening,base_same_set_self_rated_health_worsening,current_state_held,loss_1,39.46577070407376,62941,9936,1.076742841027618,1.007389033195948,1.1508713193214957
hrs,multimorbidity_progression,self_rated_health_worsening,base_same_set_self_rated_health_worsening,current_state_held,loss_2plus,32.15094285621433,62941,9936,1.2014071251158618,1.0382490909087068,1.3902050027473378
hrs,multimorbidity_progression,self_rated_health_worsening,plus_self_rated_health_worsening,unconditional,loss_1,3.073317589846678,62941,9936,1.1256861901163562,1.0803667104199863,1.1729067421246924
hrs,multimorbidity_progression,self_rated_health_worsening,plus_self_rated_health_worsening,unconditional,loss_2plus,3.055396486515257,62941,9936,1.2997611734818657,1.1721454368740123,1.4412708994511394
hrs,multimorbidity_progression,transition_hospitalization,base_same_set_transition_hospitalization,current_state_held,loss_1,40.29586599295318,62867,9925,1.0757605501730794,1.0065178238805856,1.1497667839074304
hrs,multimorbidity_progression,transition_hospitalization,base_same_set_transition_hospitalization,current_state_held,loss_2plus,32.492045182105464,62867,9925,1.2018057614772932,1.038734369424963,1.3904778072565294
hrs,multimorbidity_progression,transition_hospitalization,plus_transition_hospitalization,unconditional,loss_1,4.601128266442169,62867,9925,1.1237691971742074,1.078511105578469,1.1709264763112643
hrs,multimorbidity_progression,transition_hospitalization,plus_transition_hospitalization,unconditional,loss_2plus,5.53750418992151,62867,9925,1.2933333368559048,1.16610543365471,1.434442437147693
hrs,multimorbidity_progression,cesd_worsening,base_same_set_cesd_worsening,current_state_held,loss_1,37.75697056545689,60432,9517,1.0764566681905046,1.0054995558397248,1.1524211540044742
hrs,multimorbidity_progression,cesd_worsening,base_same_set_cesd_worsening,current_state_held,loss_2plus,28.495135159843027,60432,9517,1.222969625820708,1.053486985269738,1.419718256222302
