cohort,outcome_id,analysis_family,context_id,outcome_coding_status,context_fields,model_id,state_adjustment,n,people,events,nonevents,parameters,matrix_rank,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,model_status,warnings,term,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,log_rr_attenuation_percent
hrs,mortality,clinical_context_graded,joint_context,PASS_SOURCE_STATUS,self_rated_health_worsening;transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease;fi_change,plus_joint_context,unconditional,21278,13636,1040,20238,23,23,5558,389,5169,631,60,571,PASS,,loss_2plus,risk_ratio,2.123014304214113,0.13331673502527655,1.6348334296161275,2.7569718444992035,1.632909316188601e-08,25.104855780386366
hrs,mortality,clinical_context_graded,joint_context,PASS_SOURCE_STATUS,self_rated_health_worsening;transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease;fi_change,plus_joint_context,unconditional,21278,13636,1040,20238,23,23,5558,389,5169,631,60,571,PASS,,context_self_rated_health_worsening,risk_ratio,1.2452141686183928,0.06111330351402797,1.1046490295989986,1.4036660370677803,0.0003325348974755694,
hrs,mortality,clinical_context_graded,joint_context,PASS_SOURCE_STATUS,self_rated_health_worsening;transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease;fi_change,plus_joint_context,unconditional,21278,13636,1040,20238,23,23,5558,389,5169,631,60,571,PASS,,context_transition_hospitalization,risk_ratio,1.6239052710434456,0.06175676943800601,1.4387761631094547,1.832855170204868,4.13719417811022e-15,
hrs,mortality,clinical_context_graded,joint_context,PASS_SOURCE_STATUS,self_rated_health_worsening;transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease;fi_change,plus_joint_context,unconditional,21278,13636,1040,20238,23,23,5558,389,5169,631,60,571,PASS,,context_cesd_worsening,risk_ratio,1.2275662067530317,0.0618880668198132,1.0873408554407684,1.3858752611214786,0.0009230977833083469,
hrs,mortality,clinical_context_graded,joint_context,PASS_SOURCE_STATUS,self_rated_health_worsening;transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease;fi_change,plus_joint_context,unconditional,21278,13636,1040,20238,23,23,5558,389,5169,631,60,571,PASS,,context_bmi_or_weight_loss,risk_ratio,2.0732704447826045,0.0813973701339217,1.7675446349532844,2.4318765434303535,3.317403336822108e-19,
hrs,mortality,clinical_context_graded,joint_context,PASS_SOURCE_STATUS,self_rated_health_worsening;transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease;fi_change,plus_joint_context,unconditional,21278,13636,1040,20238,23,23,5558,389,5169,631,60,571,PASS,,context_incident_non_target_disease,risk_ratio,1.0516664909568354,0.07297140742547878,0.9115167668830091,1.2133648533789572,0.48997213760666425,
hrs,mortality,clinical_context_graded,joint_context,PASS_SOURCE_STATUS,self_rated_health_worsening;transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease;fi_change,plus_joint_context,unconditional,21278,13636,1040,20238,23,23,5558,389,5169,631,60,571,PASS,,context_fi_change,risk_ratio,1.090846779507959,0.020182089997086042,1.0485393359357211,1.1348612832926979,1.6437571822364696e-05,
hrs,mortality,clinical_context_graded,joint_context_no_fi,PASS_SOURCE_STATUS,self_rated_health_worsening;transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease,base_same_set_joint_context_no_fi,unconditional,25252,14801,1187,24065,18,18,6533,438,6095,733,67,666,PASS,,loss_1,risk_ratio,1.5736439465186551,0.05883221915418217,1.4022595283204742,1.7659749999208838,1.2925640661235868e-14,
hrs,mortality,clinical_context_graded,joint_context_no_fi,PASS_SOURCE_STATUS,self_rated_health_worsening;transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease,base_same_set_joint_context_no_fi,unconditional,25252,14801,1187,24065,18,18,6533,438,6095,733,67,666,PASS,,loss_2plus,risk_ratio,2.7231998607412695,0.12827917371970232,2.1178153197708434,3.5016355828154517,5.737482768600107e-15,
hrs,mortality,clinical_context_graded,joint_context_no_fi,PASS_SOURCE_STATUS,self_rated_health_worsening;transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease,base_same_set_joint_context_no_fi,current_state_held,25252,14801,1187,24065,21,21,6533,438,6095,733,67,666,PASS,,loss_1,risk_ratio,1.0269366968966336,0.10690524709162606,0.8328096753732049,1.2663145141299823,0.8036438264923318,94.13748413721872
hrs,mortality,clinical_context_graded,joint_context_no_fi,PASS_SOURCE_STATUS,self_rated_health_worsening;transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease,base_same_set_joint_context_no_fi,current_state_held,25252,14801,1187,24065,21,21,6533,438,6095,733,67,666,PASS,,loss_2plus,risk_ratio,1.278705876950489,0.21604911468054708,0.8372773086116769,1.9528640068592398,0.2551501696645625,75.45950631308462
hrs,mortality,clinical_context_graded,joint_context_no_fi,PASS_SOURCE_STATUS,self_rated_health_worsening;transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease,plus_joint_context_no_fi,unconditional,25252,14801,1187,24065,23,23,6533,438,6095,733,67,666,PASS,,loss_1,risk_ratio,1.4355665822506372,0.05895724234441449,1.2789066465156813,1.6114166094057485,8.646892092020657e-10,20.2548622514282
hrs,mortality,clinical_context_graded,joint_context_no_fi,PASS_SOURCE_STATUS,self_rated_health_worsening;transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease,plus_joint_context_no_fi,unconditional,25252,14801,1187,24065,23,23,6533,438,6095,733,67,666,PASS,,loss_2plus,risk_ratio,2.241935682233488,0.126371284648921,1.7500711950120014,2.872040644744894,1.6737627796944147e-10,19.4117084050827
hrs,mortality,clinical_context_graded,joint_context_no_fi,PASS_SOURCE_STATUS,self_rated_health_worsening;transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease,plus_joint_context_no_fi,unconditional,25252,14801,1187,24065,23,23,6533,438,6095,733,67,666,PASS,,context_self_rated_health_worsening,risk_ratio,1.284505354954744,0.057074115493167536,1.1485617364033016,1.4365392426132977,1.1502142492895058e-05,
hrs,mortality,clinical_context_graded,joint_context_no_fi,PASS_SOURCE_STATUS,self_rated_health_worsening;transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease,plus_joint_context_no_fi,unconditional,25252,14801,1187,24065,23,23,6533,438,6095,733,67,666,PASS,,context_transition_hospitalization,risk_ratio,1.6881156274289282,0.05748068434179747,1.5082541990252547,1.8894257834067183,8.286077270778405e-20,
hrs,mortality,clinical_context_graded,joint_context_no_fi,PASS_SOURCE_STATUS,self_rated_health_worsening;transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease,plus_joint_context_no_fi,unconditional,25252,14801,1187,24065,23,23,6533,438,6095,733,67,666,PASS,,context_cesd_worsening,risk_ratio,1.2632065038957625,0.057247318648077306,1.129133641726111,1.413199122333488,4.475135433125244e-05,
hrs,mortality,clinical_context_graded,joint_context_no_fi,PASS_SOURCE_STATUS,self_rated_health_worsening;transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease,plus_joint_context_no_fi,unconditional,25252,14801,1187,24065,23,23,6533,438,6095,733,67,666,PASS,,context_bmi_or_weight_loss,risk_ratio,2.048668764160412,0.07402820101312808,1.7719800453799592,2.3685614949160403,3.3888025014473017e-22,
hrs,mortality,clinical_context_graded,joint_context_no_fi,PASS_SOURCE_STATUS,self_rated_health_worsening;transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease,plus_joint_context_no_fi,unconditional,25252,14801,1187,24065,23,23,6533,438,6095,733,67,666,PASS,,context_incident_non_target_disease,risk_ratio,1.0965550531706367,0.0654802862131171,0.9644806520025453,1.246715506565584,0.1592339612889344,
hrs,incident_any_adl,clinical_context_graded,self_rated_health_worsening,PASS_STRICT_COMPLETE_ITEM_COUNTS,self_rated_health_worsening,base_same_set_self_rated_health_worsening,unconditional,54375,17187,5017,49358,19,19,13401,1658,11743,1395,194,1201,PASS,,loss_1,risk_ratio,1.4532703706087298,0.02855739937820598,1.374163208885396,1.5369315350847625,3.755927825537787e-39,
hrs,incident_any_adl,clinical_context_graded,self_rated_health_worsening,PASS_STRICT_COMPLETE_ITEM_COUNTS,self_rated_health_worsening,base_same_set_self_rated_health_worsening,unconditional,54375,17187,5017,49358,19,19,13401,1658,11743,1395,194,1201,PASS,,loss_2plus,risk_ratio,2.0305913624442784,0.07187213067089082,1.7637818366585343,2.337761505155797,6.497133364796438e-23,
hrs,incident_any_adl,clinical_context_graded,self_rated_health_worsening,PASS_STRICT_COMPLETE_ITEM_COUNTS,self_rated_health_worsening,base_same_set_self_rated_health_worsening,current_state_held,54375,17187,5017,49358,22,22,13401,1658,11743,1395,194,1201,PASS,,loss_1,risk_ratio,1.2857517264662945,0.047477388892762595,1.1715053855926714,1.4111394812536138,1.1969354596205063e-07,32.76284338143889
hrs,incident_any_adl,clinical_context_graded,self_rated_health_worsening,PASS_STRICT_COMPLETE_ITEM_COUNTS,self_rated_health_worsening,base_same_set_self_rated_health_worsening,current_state_held,54375,17187,5017,49358,22,22,13401,1658,11743,1395,194,1201,PASS,,loss_2plus,risk_ratio,1.7234621694831966,0.10238990348928739,1.4100915532895706,2.106474464519932,1.0590013092224444e-07,23.15200336442044
hrs,incident_any_adl,clinical_context_graded,self_rated_health_worsening,PASS_STRICT_COMPLETE_ITEM_COUNTS,self_rated_health_worsening,plus_self_rated_health_worsening,unconditional,54375,17187,5017,49358,20,20,13401,1658,11743,1395,194,1201,PASS,,loss_1,risk_ratio,1.4475290126912186,0.028584916974229855,1.368660556781158,1.5309422282985017,2.714157386507692e-38,1.0589344743568414
