cohort,outcome_id,analysis_family,context_id,outcome_coding_status,context_fields,model_id,state_adjustment,n,people,events,nonevents,parameters,matrix_rank,model_status,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents
charls,incident_any_iadl,clinical_context_graded,joint_context_no_fi,PASS_STRICT_COMPLETE_ITEM_COUNTS,transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease,base_same_set_joint_context_no_fi,unconditional,709,709,113,596,13,13,NOT_EVALUABLE_EPV,,,,,,
charls,incident_any_iadl,clinical_context_graded,joint_context_no_fi,PASS_STRICT_COMPLETE_ITEM_COUNTS,transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease,base_same_set_joint_context_no_fi,current_state_held,709,709,113,596,16,16,NOT_EVALUABLE_EPV,,,,,,
charls,incident_any_iadl,clinical_context_graded,joint_context_no_fi,PASS_STRICT_COMPLETE_ITEM_COUNTS,transition_hospitalization;cesd_worsening;bmi_or_weight_loss;incident_non_target_disease,plus_joint_context_no_fi,unconditional,709,709,113,596,17,17,NOT_EVALUABLE_EPV,,,,,,
charls,multimorbidity_progression,clinical_context_graded,transition_hospitalization,PASS_STRICT_COMMON_SIX,transition_hospitalization,base_same_set_transition_hospitalization,unconditional,1138,1138,123,1015,13,13,NOT_EVALUABLE_EPV,,,,,,
charls,multimorbidity_progression,clinical_context_graded,transition_hospitalization,PASS_STRICT_COMMON_SIX,transition_hospitalization,base_same_set_transition_hospitalization,current_state_held,1138,1138,123,1015,16,16,NOT_EVALUABLE_EPV,,,,,,
charls,multimorbidity_progression,clinical_context_graded,transition_hospitalization,PASS_STRICT_COMMON_SIX,transition_hospitalization,plus_transition_hospitalization,unconditional,1138,1138,123,1015,14,14,NOT_EVALUABLE_EPV,,,,,,
charls,multimorbidity_progression,clinical_context_graded,cesd_worsening,PASS_STRICT_COMMON_SIX,cesd_worsening,base_same_set_cesd_worsening,unconditional,1118,1118,125,993,13,13,NOT_EVALUABLE_EPV,,,,,,
charls,multimorbidity_progression,clinical_context_graded,cesd_worsening,PASS_STRICT_COMMON_SIX,cesd_worsening,base_same_set_cesd_worsening,current_state_held,1118,1118,125,993,16,16,NOT_EVALUABLE_EPV,,,,,,
charls,multimorbidity_progression,clinical_context_graded,cesd_worsening,PASS_STRICT_COMMON_SIX,cesd_worsening,plus_cesd_worsening,unconditional,1118,1118,125,993,14,14,NOT_EVALUABLE_EPV,,,,,,
charls,multimorbidity_progression,clinical_context_graded,bmi_or_weight_loss,PASS_STRICT_COMMON_SIX,bmi_or_weight_loss,base_same_set_bmi_or_weight_loss,unconditional,920,920,101,819,13,13,NOT_EVALUABLE_EPV,,,,,,
charls,multimorbidity_progression,clinical_context_graded,bmi_or_weight_loss,PASS_STRICT_COMMON_SIX,bmi_or_weight_loss,base_same_set_bmi_or_weight_loss,current_state_held,920,920,101,819,16,16,NOT_EVALUABLE_EPV,,,,,,
charls,multimorbidity_progression,clinical_context_graded,bmi_or_weight_loss,PASS_STRICT_COMMON_SIX,bmi_or_weight_loss,plus_bmi_or_weight_loss,unconditional,920,920,101,819,14,14,NOT_EVALUABLE_EPV,,,,,,
charls,multimorbidity_progression,clinical_context_graded,fi_change,PASS_STRICT_COMMON_SIX,fi_change,base_same_set_fi_change,unconditional,0,0,0,0,14,0,NOT_EVALUABLE_CLUSTERS,,,,,,
charls,multimorbidity_progression,clinical_context_graded,fi_change,PASS_STRICT_COMMON_SIX,fi_change,base_same_set_fi_change,current_state_held,0,0,0,0,17,0,NOT_EVALUABLE_CLUSTERS,,,,,,
charls,multimorbidity_progression,clinical_context_graded,fi_change,PASS_STRICT_COMMON_SIX,fi_change,plus_fi_change,unconditional,0,0,0,0,15,0,NOT_EVALUABLE_CLUSTERS,,,,,,
charls,multimorbidity_progression,clinical_context_graded,joint_context,PASS_STRICT_COMMON_SIX,transition_hospitalization;cesd_worsening;bmi_or_weight_loss;fi_change,base_same_set_joint_context,unconditional,0,0,0,0,14,0,NOT_EVALUABLE_CLUSTERS,,,,,,
charls,multimorbidity_progression,clinical_context_graded,joint_context,PASS_STRICT_COMMON_SIX,transition_hospitalization;cesd_worsening;bmi_or_weight_loss;fi_change,base_same_set_joint_context,current_state_held,0,0,0,0,17,0,NOT_EVALUABLE_CLUSTERS,,,,,,
charls,multimorbidity_progression,clinical_context_graded,joint_context,PASS_STRICT_COMMON_SIX,transition_hospitalization;cesd_worsening;bmi_or_weight_loss;fi_change,plus_joint_context,unconditional,0,0,0,0,18,0,NOT_EVALUABLE_CLUSTERS,,,,,,
charls,multimorbidity_progression,clinical_context_graded,joint_context_no_fi,PASS_STRICT_COMMON_SIX,transition_hospitalization;cesd_worsening;bmi_or_weight_loss,base_same_set_joint_context_no_fi,unconditional,897,897,100,797,13,13,NOT_EVALUABLE_EPV,,,,,,
charls,multimorbidity_progression,clinical_context_graded,joint_context_no_fi,PASS_STRICT_COMMON_SIX,transition_hospitalization;cesd_worsening;bmi_or_weight_loss,base_same_set_joint_context_no_fi,current_state_held,897,897,100,797,16,16,NOT_EVALUABLE_EPV,,,,,,
charls,multimorbidity_progression,clinical_context_graded,joint_context_no_fi,PASS_STRICT_COMMON_SIX,transition_hospitalization;cesd_worsening;bmi_or_weight_loss,plus_joint_context_no_fi,unconditional,897,897,100,797,16,16,NOT_EVALUABLE_EPV,,,,,,
