cohort,outcome_id,analysis_family,model_id,outcome_coding_status,n,people,events,nonevents,parameters,matrix_rank,model_status,warnings,term,loss_1_n,loss_1_events,loss_1_nonevents,loss_2plus_n,loss_2plus_events,loss_2plus_nonevents,prefrail_n,prefrail_events,prefrail_nonevents,frail_n,frail_events,frail_nonevents,estimate_scale,estimate,standard_error,ci_low,ci_high,p_value,any_withdrawal_n,any_withdrawal_events,any_withdrawal_nonevents,withdrawal_only_n,withdrawal_only_events,withdrawal_only_nonevents,frailty_only_n,frailty_only_events,frailty_only_nonevents,both_n,both_events,both_nonevents
elsa,incident_stroke,frailty_head_to_head,nonfrail_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,11727,6236,105,11622,18,18,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elsa,incident_stroke,frailty_head_to_head,four_state,PASS_BASELINE_FREE_RISK_SET,12298,6474,117,12181,20,20,NOT_EVALUABLE_EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elsa,incident_heart_disease,frailty_head_to_head,M0_routine,PASS_BASELINE_FREE_RISK_SET,10502,5640,390,10112,17,17,PASS,,__model__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elsa,incident_heart_disease,frailty_head_to_head,M1_withdrawal,PASS_BASELINE_FREE_RISK_SET,10502,5640,390,10112,19,19,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,1990.0,88.0,1902.0,136.0,3.0,133.0,,,,,,,,,,,,,,,,,,,,,,,,
elsa,incident_heart_disease,frailty_head_to_head,M2_fried,PASS_BASELINE_FREE_RISK_SET,10502,5640,390,10112,19,19,PASS,,prefrail,,,,,,,3894.0,163.0,3731.0,418.0,36.0,382.0,risk_ratio,1.0512731439913112,0.1157485148609878,0.8378962669303562,1.3189881216754906,0.665750270975568,,,,,,,,,,,,
elsa,incident_heart_disease,frailty_head_to_head,M2_fried,PASS_BASELINE_FREE_RISK_SET,10502,5640,390,10112,19,19,PASS,,frail,,,,,,,3894.0,163.0,3731.0,418.0,36.0,382.0,risk_ratio,1.492247051802607,0.2061898692367671,0.9961657243900252,2.235372297091524,0.0522179727748534,,,,,,,,,,,,
elsa,incident_heart_disease,frailty_head_to_head,M3_fried_withdrawal,PASS_BASELINE_FREE_RISK_SET,10502,5640,390,10112,21,21,NOT_EVALUABLE_LOSS_2PLUS_EVENTS,,,1990.0,88.0,1902.0,136.0,3.0,133.0,3894.0,163.0,3731.0,418.0,36.0,382.0,,,,,,,,,,,,,,,,,,
elsa,incident_heart_disease,frailty_head_to_head,M1b_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,10502,5640,390,10112,18,18,PASS,,any_withdrawal,,,,,,,,,,,,,risk_ratio,1.0658547327984385,0.2199770336381208,0.6925533389922865,1.6403737408614003,0.7718729135555262,2126.0,91.0,2035.0,,,,,,,,,
elsa,incident_heart_disease,frailty_head_to_head,M3b_fried_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,10502,5640,390,10112,20,20,PASS,,prefrail,,,,,,,3894.0,163.0,3731.0,418.0,36.0,382.0,risk_ratio,1.050232710071141,0.1156865791527104,0.8371686290536087,1.317522786956632,0.6718138404937755,2126.0,91.0,2035.0,,,,,,,,,
elsa,incident_heart_disease,frailty_head_to_head,M3b_fried_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,10502,5640,390,10112,20,20,PASS,,frail,,,,,,,3894.0,163.0,3731.0,418.0,36.0,382.0,risk_ratio,1.4922160115562384,0.205931480704696,0.996649610822762,2.2341940446919937,0.051935592508474,2126.0,91.0,2035.0,,,,,,,,,
elsa,incident_heart_disease,frailty_head_to_head,M3b_fried_any_withdrawal,PASS_BASELINE_FREE_RISK_SET,10502,5640,390,10112,20,20,PASS,,any_withdrawal,,,,,,,3894.0,163.0,3731.0,418.0,36.0,382.0,risk_ratio,1.0690225885254283,0.2183874281605705,0.6967791812593209,1.64013122882368,0.7598898187168742,2126.0,91.0,2035.0,,,,,,,,,
